Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rausch-mincam360-pan-tilt-push-camera,Rausch minCam360 Pan & Tilt Push Camera,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Application Range from 3″ up to 16″ (with All Optional Accessories)</strong></p>
<p data-mce-fragment=""1"">The minCam360 pan &amp; tilt push camera can push through 4” 90° P-Traps and inspect pipe diameters up to 16” with the optional large roller upgrade. It features digital zoom as well as innovative self-adjusting “smart” LED lights. Includes tri-band 512 Hz, 33 kHz, 640 Hz sonde.</p>",Rausch,Equipment,"Esale, Pushrod Cameras, Rental",true,Title,Default Title,,,,,'56015,0.0,shopify,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v1.png?v=1610067817,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rausch-mincam360-pan-tilt-push-camera,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v2.jpg?v=1610067817,2,,,,,,,,,,,,,,,,,,,,,,
rausch-mincam360-pan-tilt-push-camera,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v3.jpg?v=1610067817,3,,,,,,,,,,,,,,,,,,,,,,
rausch-mincam360-pan-tilt-push-camera,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v4.jpg?v=1610067819,4,,,,,,,,,,,,,,,,,,,,,,
rausch-mincam360-pan-tilt-push-camera,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v5.jpg?v=1610067819,5,,,,,,,,,,,,,,,,,,,,,,
rausch-mincam360-pan-tilt-push-camera,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v6.jpg?v=1610067819,6,,,,,,,,,,,,,,,,,,,,,,
rausch-mincam360-pan-tilt-push-camera,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/56015-Rausch-MiniCam-360-v8.jpg?v=1610067819,7,,,,,,,,,,,,,,,,,,,,,,
flir-e6-xt-infrared-camera-240-x-180-pixels-4-to-1022,"Flir E6-XT Infrared Camera, 240 x 180 Pixels, -4° to 1022°","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">FLIR E6-XT is the perfect tool for diagnosing electrical, mechanical, and building problems, thanks to its 43.200 (240 × 180) pixel infrared detector and expanded, -20°C to 550°C (-4°F to 1022°F) temperature range. FLIR MSX® image enhancement provides extraordinary thermal imaging detail, while the built-in Wi-Fi allows users to quickly connect with the FLIR Tools® Mobile app for sharing images and sending reports easily from any location.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Thermal imaging cameras are devices that translate thermal energy (heat) into visible light in order to analyze a particular object or scene. The image produced is known as a thermogram and is analyzed through a process called thermography.</span></p>",FLIR Systems,Equipment,"Coronavirus, COVID Equipment Rentals, COVID Equipment Sales, COVID-19, Esale, Rental, Thermal Imaging Cameras",true,Title,Default Title,,,,,'52255,0.0,shopify,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/6635/3966/products/52255-Flir-Infrared-Camera-240x180-v2.png?v=1608754132,1,,false,,,,,,,,,,,,,,,,,kg,,,active
flir-e6-xt-infrared-camera-240-x-180-pixels-4-to-1022,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/52255-Flir-Infrared-Camera-240x180.png?v=1608754132,2,,,,,,,,,,,,,,,,,,,,,,
flir-e6-xt-infrared-camera-240-x-180-pixels-4-to-1022,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/52255-Flir-Infrared-Camera-v3.png?v=1608754132,3,,,,,,,,,,,,,,,,,,,,,,
flir-e6-xt-infrared-camera-240-x-180-pixels-4-to-1022,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/52255-Flir-Infrared-Camera-v4a.jpg?v=1608754132,4,,,,,,,,,,,,,,,,,,,,,,
flir-e6-xt-infrared-camera-240-x-180-pixels-4-to-1022,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0037/6635/3966/products/52255-flir-e6-xt-home-inspections.jpg?v=1608754132,5,,,,,,,,,,,,,,,,,,,,,,
